symbol	keggID
ATP6V1E1	01100
ATP6V1E1	04145
ATP6V1E1	04966
ATP6V1E1	05110
ATP6V1E1	05120
ATP6V1E1	05323
ATP6V0B	00190
ATP6V0B	01100
ATP6V0B	04142
ATP6V0B	04145
ATP6V0B	05110
ATP6V0B	05120
ATP6V0B	05323
ATP6V1G2	00190
ATP6V1G2	01100
ATP6V1G2	04145
ATP6V1G2	04966
ATP6V1G2	05110
ATP6V1G2	05120
ATP6V1G2	05323
ATP6V0A1	00190
ATP6V0A1	01100
ATP6V0A1	04142
ATP6V0A1	04145
ATP6V0A1	04966
ATP6V0A1	05110
ATP6V0A1	05120
ATP6V0A1	05323
ATP6AP1	00190
ATP6AP1	01100
ATP6AP1	04142
ATP6AP1	04145
ATP6AP1	05110
ATP6AP1	05120
ATP6AP1	05323
ATP5PO	00190
ATP5PO	01100
ATP5PO	05010
ATP5PO	05012
ATP5PO	05016
ATR	04110
ATR	04115
AUH	00280
AUH	01100
AVP	04962
AVPR1A	04020
AVPR1A	04080
AVPR1A	04270
AVPR1B	04020
AVPR1B	04080
AVPR1B	04270
AVPR2	04080
AVPR2	04962
B2M	04612
BAAT	00120
BAAT	00430
BAAT	01040
BAAT	01100
BAAT	04146
BAAT	04976
BAD	04012
BAD	04210
BAD	04370
BAD	04510
BAD	04722
BAD	04910
BAD	05010
BAD	05014
BAD	05145
BAD	05160
BAD	05200
BAD	05210
BAD	05212
BAD	05213
BAD	05215
BAD	05218
BAD	05220
BAD	05221
BAD	05223
BAG1	04141
ADGRB1	04115
BAK1	04141
BAX	04115
BAX	04141
BAX	04210
BAX	04722
BAX	05014
BAX	05016
BAX	05020
BAX	05200
BAX	05210
BCAT1	00280
BCAT1	00290
BCAT1	00770
BCAT1	01100
BCAT2	00280
BCAT2	00290
BCAT2	00770
BCAT2	01100
BCKDHA	00280
BCKDHA	01100
BCKDHB	00280
BCKDHB	01100
CCND1	04110
CCND1	04115
CCND1	04310
CCND1	04510
CCND1	04630
CCND1	05200
CCND1	05210
CCND1	05212
CCND1	05213
CCND1	05214
CCND1	05215
CCND1	05216
CCND1	05218
CCND1	05219
CCND1	05220
CCND1	05221
CCND1	05222
CCND1	05223
CCND1	05416
BCL2	04141
BCL2	04210
BCL2	04510
BCL2	04722
BCL2	05014
BCL2	05145
BCL2	05200
BCL2	05210
BCL2	05215
BCL2	05222
BCL2L1	04210
BCL2L1	04630
BCL2L1	05014
BCL2L1	05145
BCL2L1	05200
BCL2L1	05212
BCL2L1	05220
BCL2L1	05222
TNFRSF17	04060
TNFRSF17	04672
BCR	05200
BCR	05220
BDH1	00072
BDH1	00650
BDH1	01100
BDKRB1	04020
BDKRB1	04080
BDKRB1	04610
BDKRB1	04810
BDKRB2	04020
BDKRB2	04080
BDKRB2	04610
BDKRB2	04810
BDKRB2	05142
BDNF	04010
BDNF	04722
BDNF	05016
CFB	04610
CFB	05150
BHMT	00260
BHMT	00270
BHMT	01100
BID	04115
BID	04210
BID	04650
BID	05010
BID	05014
BID	05200
BID	05416
BLM	03440
CXCR5	04060
CXCR5	04062
BLVRA	00860
BLVRB	00860
BMP2	04060
BMP2	04340
BMP2	04350
BMP2	05200
BMP2	05217
BMP4	04340
BMP4	04350
BMP4	05200
BMP4	05217
BMP5	04340
BMP5	04350
BMP6	04340
BMP6	04350
BMP7	04060
BMP7	04340
BMP7	04350
BMP8B	04340
BMP8B	04350
BMPR1A	04060
BMPR1A	04350
BMPR1B	04060
BMPR1B	04350
BMPR2	04060
BMPR2	04350
POLR3D	00230
POLR3D	00240
POLR3D	01100
POLR3D	03020
POLR3D	04623
BNIP1	04130
BPGM	00010
BPGM	01100
BRCA1	04120
BRAF	04010
BRAF	04012
BRAF	04062
BRAF	04150
BRAF	04270
BRAF	04510
BRAF	04650
BRAF	04720
BRAF	04722
BRAF	04730
BRAF	04810
BRAF	04910
BRAF	04914
BRAF	05160
BRAF	05200
BRAF	05210
BRAF	05211
BRAF	05212
BRAF	05213
BRAF	05214
BRAF	05215
BRAF	05216
BRAF	05218
BRAF	05219
BRAF	05220
BRAF	05221
BRAF	05223
BRCA2	03440
BRCA2	05200
BRCA2	05212
BRS3	04080
BST1	00760
BST1	01100
BST1	04020
BST1	04970
BST1	04972
BTC	04012
BTD	00780
BTD	01100
BTD	04977
BTG1	03018
BTK	04380
BTK	04662
BTK	04664
BTK	05340
BUB1	04110
BUB1	04114
BUB1	04914
BUB1B	04110
TSPO	04080
SERPING1	04610
C1QA	04610
C1QA	05020
C1QA	05142
C1QA	05150
C1QA	05322
C1QB	04610
C1QB	05020
C1QB	05142
C1QB	05150
C1QB	05322
C1QC	04610
C1QC	05020
C1QC	05142
C1QC	05150
C1QC	05322
C1R	04145
C1R	04610
C1R	05150
C1R	05322
C1S	04610
C1S	05150
C1S	05322
C2	04610
C2	05150
C2	05322
C3	04145
C3	04610
C3	05140
C3	05142
C3	05150
C3	05322
C3AR1	04080
C3AR1	04610
C3AR1	05150
C4A	04610
C4A	05150
C4A	05322
C4B	04610
C4B	05150
C4B	05322
C4BPA	04610
C4BPB	04610
C5	04610
C5	05020
C5	05150
C5	05322
C5AR1	04080
C5AR1	04610
C5AR1	05150
C6	04610
C6	05020
C6	05322
C7	04610
C7	05020
C7	05322
C8A	04610
C8A	05020
C8A	05146
C8A	05322
C8B	04610
C8B	05020
C8B	05146
C8B	05322
C8G	04610
C8G	05020
C8G	05146
C8G	05322
C9	04610
C9	05020
C9	05146
C9	05322
CA1	00910
CA2	00910
CA2	04964
CA2	04966
CA2	04971
CA2	04972
CA2	04976
CA3	00910
CA4	00910
CA4	04964
CA5A	00910
CA6	00910
CA7	00910
CA8	00910
CA9	00910
CA12	00910
CACNA1A	04010
CACNA1A	04020
CACNA1A	04730
CACNA1A	04742
CACNA1A	04930
CACNA1B	04010
CACNA1B	04020
CACNA1B	04742
CACNA1B	04930
CACNA1C	04010
CACNA1C	04020
CACNA1C	04260
CACNA1C	04270
CACNA1C	04720
CACNA1C	04912
CACNA1C	04930
CACNA1C	05010
CACNA1C	05410
CACNA1C	05412
CACNA1C	05414
CACNA1D	04010
CACNA1D	04020
CACNA1D	04260
CACNA1D	04270
CACNA1D	04912
CACNA1D	04930
CACNA1D	04973
CACNA1D	05010
CACNA1D	05410
CACNA1D	05412
CACNA1D	05414
CACNA1E	04010
CACNA1E	04020
CACNA1E	04930
CACNA1F	04010
CACNA1F	04020
CACNA1F	04260
CACNA1F	04270
CACNA1F	04912
CACNA1F	05010
CACNA1F	05410
CACNA1F	05412
CACNA1F	05414
CACNA1S	04010
CACNA1S	04020
CACNA1S	04260
CACNA1S	04270
CACNA1S	04912
CACNA1S	05010
CACNA1S	05410
CACNA1S	05412
CACNA1S	05414
CACNA2D1	04010
CACNA2D1	04260
CACNA2D1	05410
CACNA2D1	05412
CACNA2D1	05414
CACNB1	04010
CACNB1	04260
CACNB1	05410
CACNB1	05412
CACNB1	05414
CACNB2	04010
CACNB2	04260
CACNB2	05410
CACNB2	05412
CACNB2	05414
CACNB3	04010
CACNB3	04260
CACNB3	05410
CACNB3	05412
CACNB3	05414
CACNB4	04010
CACNB4	04260
CACNB4	05410
CACNB4	05412
CACNB4	05414
CACNG1	04010
